actual,text,prediction
0,Nie mehr Torre Azul Um mich kurz zu fassen Hotel Gesamtnote sehr schlecht Essen kann man bereits nach 2 Tagen nicht mehr essen schmeckt nicht und man weiss nie was es ist. Der Pool oder besser gesagt die Badewanne 10 Personen und der Pool ist überfüllt. Was wir erst am 2ten Tag endeckt haben war das einzig essbare in diesen Hotel Hamburger und Hot Dog um die Mittagszeit was man spätestens am 4 Tag nicht mehr essen kann .P. s Mit Fleischdurchbraten habens die Angestellten wohl nicht so .Die Bar: Naja Plastikbecher seh ich ja noch ein wegen mir was solls aber dann noch zu den mini Plastikbechern 0. 2l ungefähr die Hälfte Eis (Vorsicht Chlor Alarm) geht ja garnicht und wenn man mehr als drei betsellen möchte gibts nichts mehr zu trinken das darf man in einen 3 Sterne ALL inklusive Hotel anscheinend nicht und wehe man stellt sich extra 20 minuten vor elf uhr abends and der Bar an um noch etwas zu bekommen punkt 23 uhr is schluss egal wie lange man wartet vor elf uhr man bekommt nur noch etwas gegen Teuros .Die Zimmer: Das enzige an diesen Hotel was in ordnung warSauber und die Putzfrau war jeden tag da hat geputzt Handtücher ausgetauscht. Das Bad: Normalerweise wenn ich aus Pool oder Meer komme möchte ich mich mit Süsswasser duschen kann man hier nicht den das Wasser besteht aus 70% reinem Natriumhypochlorit(Chlor) was das Duschen zu einem besonderen Erlebnis macht. Rezeption:Schön eingerichtet alles aus Holz und einer der wenigen freundlichen mitarbeiter arbeitet dort der auch man glaubt es kaum Englisch und etwas deutsch kann was man vom rest nicht behaupten kann den dort wird spanisch gelästert .Safe : Ja einen Safe gibt es auch zum Schnäpchen preis von 15Euros in der Woche:Lage:Wie auch in der beschreibung auf einen Berg nur das es neben dem Ghetto liegt stand dort nicht .P. s Der Berg geht einem nach einer Woche mächtig auf die Nerven da man sowieso am Ballerman -2 liegt und soviel dort läuft wie im ganzen Jahr nicht um überhaupt irgendwo hin zu gelangen. Ballerman 6 usw liegen recht wiet entfernt.,0.0
2,"Das Hotel ist sehr schön gelegen auf einem Plateau. Nachteil ist der Lange und steile Weg in die Stadt. Also nur mit Mietwagen zu Empfehelen. Wenn jemand nur Party haben möchte ist das das falsche Hotel, also eher was für die Totale Entspannung das es im Hotel auch eher ruhig zugeht.Einkaufen ist kein Problem nächster Supermarkt ist gleich am Anfang vom Dorf.Ausflugmöglichkeiten sind auch genügend vorhanden, allerdings ist die Insel nicht in 5 Tagen zu schaffen",2.0
1,Dies war die stärkste Panzerung zu dieser Zeit und machte Lorraine mit einem Gewicht von 75 Tonnen zum schwersten Panzerkampfwagen der jemals operativ war.,1.0
0,"und somit kann ich die App nicht mal installieren. Huawei g700, und das ist bitteschön kein Billig Modell. Forget IT!",0.0
1,Ab 1958 wurde der „Saßnitz-Express“ auf einen lokbespannten Wagenzug umgestellt.,1.0
2,"Das Personal ist nett und immer für einen Spaß zu haben. Versteht sich von selbst, dass man auch im All Inclusive Urlaub mal ab und zu ein Trinkgeld springen lassen sollte, dann sind die Mischen auch besser und man kommt schneller dran ;-)",2.0
1,Mit dem Club d’Echecs de Genève nahm er 2012 auch am European Club Cup teil und erreichte das beste Ergebnis am ersten Brett.,1.0
2,Urlaub zum Wohlfühlen Das Hotel ist im ganzen sehr ansprechend und gepflegt.,2.0
0,Die Zimmer sind recht klein und spärlich möbliert. Balkon ist mini. Die Zimmer sind dringend renovierungsbedürftig und unsauber. In ganz schlimmen Zustand sind insbesondere die Badezimmer. Ekelfaktor!,0.0
1,alt und abgewohnt aber zweckmäßig oksafe kostenlos Fön täglich wasserflaschen gratis,1.0
1,"Durch einen magischen Trunk gelingt es ihr, Lancelot in Gestalt der von ihm begehrten Guinevere zu erscheinen und eine Nacht mit ihm zu verbringen.",1.0
